show_id;type;title;director;cast;date_added;release_year;listed_in;description;rating;duration;country
s368;TV Show;Inside Pixar;;;November 13, 2020;2020;Docuseries, Family;An inside look at the people, artistry, and culture of Pixar Animation Studios.;TV-PG;1 Season;United States
s369;Movie;Petra: Secrets of the Ancient Builders;Thierry Fessard, Yohann Thiriet;Bert Morris;November 13, 2020;2019;Documentary, Historical;Discover the technical prowess behind Petra, a wonder in the middle of the desert.;TV-G;45 min;United Arab Emirates
s37;Movie;The Making of Happier Than Ever: A Love Letter to Los Angeles;David Clair;Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez;November 12, 2021;2021;Concert Film, Music;"Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""";TV-PG;30 min;
s370;Movie;Ultimate Viking Sword;Peter Yost;Jay Sanders;November 13, 2020;2019;Documentary, Historical;National Geographic reconstructs the Ulfberht, a Viking warrior’s ultimate weapon.;TV-PG;45 min;
s371;Movie;Disney's A Christmas Carol;Robert Zemeckis;Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes;November 6, 2020;2009;Animation, Fantasy;Three ghosts take Ebenezer Scrooge on an eye-opening journey.;PG;97 min;United States
s372;TV Show;Fancy Nancy (Shorts);;Mia Sinclair Jenness, Dana Heath, Spencer Moss, Alyson Hannigan;November 6, 2020;2019;Animation, Kids;Follow Nancy as she shows you how to be more Fancy!;TV-Y;1 Season;
s373;TV Show;Goldie & Bear;;Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge;November 6, 2020;2015;Action-Adventure, Animation, Buddy;Goldie and Bear go on adventures in Fairytale Forest.;TV-Y;2 Seasons;United States
s374;Movie;Mr. Magoo;Stanley Tong;Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar;November 6, 2020;1997;Action-Adventure, Comedy, Crime;Clueless Mr. Magoo sets out to get back a stolen precious gem.;PG;88 min;United States
s375;Movie;Prep & Landing;Kevin Deters, Stevie Wermers-Skelton;Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard;November 6, 2020;2009;Animation, Family, Fantasy;An elite elf unit ensures homes around the world are prepared for Santa.;TV-G;23 min;United States
s376;Movie;Prep & Landing: Naughty vs. Nice;Kevin Deters, Stevie Wermers-Skelton;Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard;November 6, 2020;2011;Animation, Family, Fantasy;Wayne and Lanny race to save Christmas!;TV-G;23 min;United States
s377;Movie;Disney Channel Halloween House Party;Trevor Moore;Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez;October 30, 2020;2020;Comedy, Variety;Disney Channel Stars celebrate Halloween in a sketch comedy special with tricks, treats, and more!;TV-G;23 min;United States
